collection_name,slug,source_url,products,product_count,source_description
Marmellate,marmellate,https://ugolinigourmet.it/categoria/marmellate/,Confit di cipolle rosse all’aceto balsamico di Modena IGP senza glutine 220 gr,1,Marmellate di frutta e verdura.
Olio al tartufo,olio-al-tartufo,https://ugolinigourmet.it/categoria/olio-al-tartufo/,Olio extra vergine di oliva al tartufo bianco 250 ml | Olio extra vergine di oliva al tartufo nero 250 ml,2,Olio al tartufo nero e bianco.
Pesto,pesto,https://ugolinigourmet.it/categoria/pesto/,Pesto alla Genovese senza glutine 180 gr | Pesto al tartufo nero senza glutine 180 gr | Pesto rosso bio senza glutine 180 gr | Pesto rosso senza glutine 180 gr | Pesto vegano al tofu senza glutine e senza lattosio 180 gr,5,Pesto alla Genovese.
Salse ai funghi,salse-funghi,https://ugolinigourmet.it/categoria/salse-funghi/,Crema ai funghi porcini e champignon senza glutine 180 gr | Crema al tartufo nero senza glutine 180 gr,2,Salse ai funghi porcini e champignon.
Salse con tartufo,salse-tartufo,https://ugolinigourmet.it/categoria/salse-tartufo/,"Salsa tartufata, salsa al tartufo nero senza glutine 180 gr | Crema a base di panna e tartufo bianchetto senza glutine 170 gr | Sugo al tartufo nero senza glutine 180 gr | Tartufo estivo intero 25 gr | Crema al tartufo nero senza glutine 180 gr | Crema di carciofi e tartufo nero estivo senza glutine 170 gr | Ketchup e tartufo estivo senza glutine 90 gr | Pesto al tartufo nero senza glutine 180 gr",8,"Salse con tartufo nero, bianco, bianchetto."
Sughi,sughi,https://ugolinigourmet.it/categoria/sughi/,"Ragù vegano con soia 180 gr | Bruschetta piccantina, salsa di pomodoro piccante senza glutine 180 gr | Sugo all’arrabbiata, salsa di polpa di pomodoro senza glutine 180 gr | Sugo al tartufo nero senza glutine 180 gr | Ragù alla Bolognese senza glutine 180 gr",5,Sugo al pomodoro.
